field, Pi-full, Si-full,Pi-Si, Pi-Pi, Si-Si, Si,-Pi, XMCD, LC,RC 
-4 , 1.2540381e-05 , 1.8076032e-05, 2.3763811e-09 , 1.2538004e-05 , 1.8045554e-05,, 3.0477978e-08 , 5.7078468e-07 , 1.5593599e-05 , 1.5022814e-05 
-3 , 1.2540381e-05 , 1.8076032e-05, 2.3763811e-09 , 1.2538004e-05 , 1.8045554e-05,, 3.0477978e-08 , 5.7078468e-07 , 1.5593599e-05 , 1.5022814e-05 
-2 , 1.2540381e-05 , 1.8076032e-05, 2.3763811e-09 , 1.2538004e-05 , 1.8045554e-05,, 3.0477978e-08 , 5.7078468e-07 , 1.5593599e-05 , 1.5022814e-05 
-1 , 1.2540381e-05 , 1.8076032e-05, 2.3763811e-09 , 1.2538004e-05 , 1.8045554e-05,, 3.0477978e-08 , 5.7078468e-07 , 1.5593599e-05 , 1.5022814e-05 
0 , 1.2540381e-05 , 1.8076032e-05, 2.3763811e-09 , 1.2538004e-05 , 1.8045554e-05,, 3.0477978e-08 , 5.7078468e-07 , 1.5593599e-05 , 1.5022814e-05 
1 , 1.2540381e-05 , 1.8076032e-05, 2.3763811e-09 , 1.2538004e-05 , 1.8045554e-05,, 3.0477978e-08 , 5.7078468e-07 , 1.5593599e-05 , 1.5022814e-05 
2 , 1.2540381e-05 , 1.8076032e-05, 2.3763811e-09 , 1.2538004e-05 , 1.8045554e-05,, 3.0477978e-08 , 5.7078468e-07 , 1.5593599e-05 , 1.5022814e-05 
3 , 1.2540381e-05 , 1.8076032e-05, 2.3763811e-09 , 1.2538004e-05 , 1.8045554e-05,, 3.0477978e-08 , 5.7078468e-07 , 1.5593599e-05 , 1.5022814e-05 
4 , 1.2540381e-05 , 1.8076032e-05, 2.3763811e-09 , 1.2538004e-05 , 1.8045554e-05,, 3.0477978e-08 , 5.7078468e-07 , 1.5593599e-05 , 1.5022814e-05 
5 , 1.2540381e-05 , 1.8076032e-05, 2.3763811e-09 , 1.2538004e-05 , 1.8045554e-05,, 3.0477978e-08 , 5.7078468e-07 , 1.5593599e-05 , 1.5022814e-05 
6 , 1.2540381e-05 , 1.8076032e-05, 2.3763811e-09 , 1.2538004e-05 , 1.8045554e-05,, 3.0477978e-08 , 5.7078468e-07 , 1.5593599e-05 , 1.5022814e-05 
7 , 1.2540381e-05 , 1.8076032e-05, 2.3763811e-09 , 1.2538004e-05 , 1.8045554e-05,, 3.0477978e-08 , 5.7078468e-07 , 1.5593599e-05 , 1.5022814e-05 
8 , 1.2540381e-05 , 1.8076032e-05, 2.3763811e-09 , 1.2538004e-05 , 1.8045554e-05,, 3.0477978e-08 , 5.7078468e-07 , 1.5593599e-05 , 1.5022814e-05 
9 , 1.2540381e-05 , 1.8076032e-05, 2.3763811e-09 , 1.2538004e-05 , 1.8045554e-05,, 3.0477978e-08 , 5.7078468e-07 , 1.5593599e-05 , 1.5022814e-05 
10 , 1.2540381e-05 , 1.8076032e-05, 2.3763811e-09 , 1.2538004e-05 , 1.8045554e-05,, 3.0477978e-08 , 5.7078468e-07 , 1.5593599e-05 , 1.5022814e-05 
11 , 1.2540381e-05 , 1.8076032e-05, 2.3763811e-09 , 1.2538004e-05 , 1.8045554e-05,, 3.0477978e-08 , 5.7078468e-07 , 1.5593599e-05 , 1.5022814e-05 
12 , 1.2540381e-05 , 1.8076032e-05, 2.3763811e-09 , 1.2538004e-05 , 1.8045554e-05,, 3.0477978e-08 , 5.7078468e-07 , 1.5593599e-05 , 1.5022814e-05 
