field, Pi-full, Si-full,Pi-Si, Pi-Pi, Si-Si, Si,-Pi, XMCD, LC,RC 
-57 , 0.31515522 , 0.31631427, 0.00028514826 , 0.31487007 , 0.31602913,, 0.00028514826 , 0.031605166 , 0.33153733 , 0.29993217 
-56 , 0.31515522 , 0.31631427, 0.00028514826 , 0.31487007 , 0.31602913,, 0.00028514826 , 0.031605166 , 0.33153733 , 0.29993217 
-55 , 0.31515522 , 0.31631427, 0.00028514826 , 0.31487007 , 0.31602913,, 0.00028514826 , 0.031605166 , 0.33153733 , 0.29993217 
-54 , 0.31515522 , 0.31631427, 0.00028514826 , 0.31487007 , 0.31602913,, 0.00028514826 , 0.031605166 , 0.33153733 , 0.29993217 
-53 , 0.31515522 , 0.31631427, 0.00028514826 , 0.31487007 , 0.31602913,, 0.00028514826 , 0.031605166 , 0.33153733 , 0.29993217 
-52 , 0.31515522 , 0.31631427, 0.00028514826 , 0.31487007 , 0.31602913,, 0.00028514826 , 0.031605166 , 0.33153733 , 0.29993217 
-51 , 0.31515522 , 0.31631427, 0.00028514826 , 0.31487007 , 0.31602913,, 0.00028514826 , 0.031605166 , 0.33153733 , 0.29993217 
-50 , 0.31515522 , 0.31631427, 0.00028514826 , 0.31487007 , 0.31602913,, 0.00028514826 , 0.031605166 , 0.33153733 , 0.29993217 
-49 , 0.31515522 , 0.31631427, 0.00028514826 , 0.31487007 , 0.31602913,, 0.00028514826 , 0.031605166 , 0.33153733 , 0.29993217 
-48 , 0.31515522 , 0.31631427, 0.00028514826 , 0.31487007 , 0.31602913,, 0.00028514826 , 0.031605166 , 0.33153733 , 0.29993217 
-47 , 0.31515522 , 0.31631427, 0.00028514826 , 0.31487007 , 0.31602913,, 0.00028514826 , 0.031605166 , 0.33153733 , 0.29993217 
-46 , 0.31515522 , 0.31631427, 0.00028514826 , 0.31487007 , 0.31602913,, 0.00028514826 , 0.031605166 , 0.33153733 , 0.29993217 
-45 , 0.31515522 , 0.31631427, 0.00028514826 , 0.31487007 , 0.31602913,, 0.00028514826 , 0.031605166 , 0.33153733 , 0.29993217 
-44 , 0.31515522 , 0.31631427, 0.00028514826 , 0.31487007 , 0.31602913,, 0.00028514826 , 0.031605166 , 0.33153733 , 0.29993217 
-43 , 0.31515522 , 0.31631427, 0.00028514826 , 0.31487007 , 0.31602913,, 0.00028514826 , 0.031605166 , 0.33153733 , 0.29993217 
-42 , 0.31515522 , 0.31631427, 0.00028514826 , 0.31487007 , 0.31602913,, 0.00028514826 , 0.031605166 , 0.33153733 , 0.29993217 
-41 , 0.31515522 , 0.31631427, 0.00028514826 , 0.31487007 , 0.31602913,, 0.00028514826 , 0.031605166 , 0.33153733 , 0.29993217 
-40 , 0.31515522 , 0.31631427, 0.00028514826 , 0.31487007 , 0.31602913,, 0.00028514826 , 0.031605166 , 0.33153733 , 0.29993217 
-39 , 0.31515522 , 0.31631427, 0.00028514826 , 0.31487007 , 0.31602913,, 0.00028514826 , 0.031605166 , 0.33153733 , 0.29993217 
-38 , 0.31515522 , 0.31631427, 0.00028514826 , 0.31487007 , 0.31602913,, 0.00028514826 , 0.031605166 , 0.33153733 , 0.29993217 
-37 , 0.31515522 , 0.31631427, 0.00028514826 , 0.31487007 , 0.31602913,, 0.00028514826 , 0.031605166 , 0.33153733 , 0.29993217 
-36 , 0.31515522 , 0.31631427, 0.00028514826 , 0.31487007 , 0.31602913,, 0.00028514826 , 0.031605166 , 0.33153733 , 0.29993217 
-35 , 0.31515522 , 0.31631427, 0.00028514826 , 0.31487007 , 0.31602913,, 0.00028514826 , 0.031605166 , 0.33153733 , 0.29993217 
-34 , 0.31515522 , 0.31631427, 0.00028514826 , 0.31487007 , 0.31602913,, 0.00028514826 , 0.031605166 , 0.33153733 , 0.29993217 
-33 , 0.31515522 , 0.31631427, 0.00028514826 , 0.31487007 , 0.31602913,, 0.00028514826 , 0.031605166 , 0.33153733 , 0.29993217 
-32 , 0.31515522 , 0.31631427, 0.00028514826 , 0.31487007 , 0.31602913,, 0.00028514826 , 0.031605166 , 0.33153733 , 0.29993217 
-31 , 0.31515522 , 0.31631427, 0.00028514826 , 0.31487007 , 0.31602913,, 0.00028514826 , 0.031605166 , 0.33153733 , 0.29993217 
-30 , 0.31515522 , 0.31631427, 0.00028514826 , 0.31487007 , 0.31602913,, 0.00028514826 , 0.031605166 , 0.33153733 , 0.29993217 
-29 , 0.31515522 , 0.31631427, 0.00028514826 , 0.31487007 , 0.31602913,, 0.00028514826 , 0.031605166 , 0.33153733 , 0.29993217 
-28 , 0.31515522 , 0.31631427, 0.00028514826 , 0.31487007 , 0.31602913,, 0.00028514826 , 0.031605166 , 0.33153733 , 0.29993217 
-27 , 0.31515522 , 0.31631427, 0.00028514826 , 0.31487007 , 0.31602913,, 0.00028514826 , 0.031605166 , 0.33153733 , 0.29993217 
-26 , 0.31515522 , 0.31631427, 0.00028514826 , 0.31487007 , 0.31602913,, 0.00028514826 , 0.031605166 , 0.33153733 , 0.29993217 
-25 , 0.31515522 , 0.31631427, 0.00028514826 , 0.31487007 , 0.31602913,, 0.00028514826 , 0.031605166 , 0.33153733 , 0.29993217 
-24 , 0.31515522 , 0.31631427, 0.00028514826 , 0.31487007 , 0.31602913,, 0.00028514826 , 0.031605166 , 0.33153733 , 0.29993217 
-23 , 0.31515522 , 0.31631427, 0.00028514826 , 0.31487007 , 0.31602913,, 0.00028514826 , 0.031605166 , 0.33153733 , 0.29993217 
-22 , 0.31515522 , 0.31631427, 0.00028514826 , 0.31487007 , 0.31602913,, 0.00028514826 , 0.031605166 , 0.33153733 , 0.29993217 
-21 , 0.31515522 , 0.31631427, 0.00028514826 , 0.31487007 , 0.31602913,, 0.00028514826 , 0.031605166 , 0.33153733 , 0.29993217 
-20 , 0.31515522 , 0.31631427, 0.00028514826 , 0.31487007 , 0.31602913,, 0.00028514826 , 0.031605166 , 0.33153733 , 0.29993217 
-19 , 0.31515522 , 0.31631427, 0.00028514826 , 0.31487007 , 0.31602913,, 0.00028514826 , 0.031605166 , 0.33153733 , 0.29993217 
-18 , 0.31515522 , 0.31631427, 0.00028514826 , 0.31487007 , 0.31602913,, 0.00028514826 , 0.031605166 , 0.33153733 , 0.29993217 
-17 , 0.31515522 , 0.31631427, 0.00028514826 , 0.31487007 , 0.31602913,, 0.00028514826 , 0.031605166 , 0.33153733 , 0.29993217 
-16 , 0.31515522 , 0.31631427, 0.00028514826 , 0.31487007 , 0.31602913,, 0.00028514826 , 0.031605166 , 0.33153733 , 0.29993217 
-15 , 0.31515522 , 0.31631427, 0.00028514826 , 0.31487007 , 0.31602913,, 0.00028514826 , 0.031605166 , 0.33153733 , 0.29993217 
-14 , 0.31515522 , 0.31631427, 0.00028514826 , 0.31487007 , 0.31602913,, 0.00028514826 , 0.031605166 , 0.33153733 , 0.29993217 
-13 , 0.31515522 , 0.31631427, 0.00028514826 , 0.31487007 , 0.31602913,, 0.00028514826 , 0.031605166 , 0.33153733 , 0.29993217 
-12 , 0.31515522 , 0.31631427, 0.00028514826 , 0.31487007 , 0.31602913,, 0.00028514826 , 0.031605166 , 0.33153733 , 0.29993217 
-11 , 0.31515522 , 0.31631427, 0.00028514826 , 0.31487007 , 0.31602913,, 0.00028514826 , 0.031605166 , 0.33153733 , 0.29993217 
-10 , 0.31515522 , 0.31631427, 0.00028514826 , 0.31487007 , 0.31602913,, 0.00028514826 , 0.031605166 , 0.33153733 , 0.29993217 
-9 , 0.31515522 , 0.31631427, 0.00028514826 , 0.31487007 , 0.31602913,, 0.00028514826 , 0.031605166 , 0.33153733 , 0.29993217 
-8 , 0.31515522 , 0.31631427, 0.00028514826 , 0.31487007 , 0.31602913,, 0.00028514826 , 0.031605166 , 0.33153733 , 0.29993217 
-7 , 0.31515522 , 0.31631427, 0.00028514826 , 0.31487007 , 0.31602913,, 0.00028514826 , 0.031605166 , 0.33153733 , 0.29993217 
-6 , 0.31515522 , 0.31631427, 0.00028514826 , 0.31487007 , 0.31602913,, 0.00028514826 , 0.031605166 , 0.33153733 , 0.29993217 
-5 , 0.31515522 , 0.31631427, 0.00028514826 , 0.31487007 , 0.31602913,, 0.00028514826 , 0.031605166 , 0.33153733 , 0.29993217 
-4 , 0.31515522 , 0.31631427, 0.00028514826 , 0.31487007 , 0.31602913,, 0.00028514826 , 0.031605166 , 0.33153733 , 0.29993217 
-3 , 0.31515522 , 0.31631427, 0.00028514826 , 0.31487007 , 0.31602913,, 0.00028514826 , 0.031605166 , 0.33153733 , 0.29993217 
